3 48 243
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.63574994020124742 0.5344874768719684 0.59928403685396903
0.85333955578294163 0.0019230607256410792 0.347180428983485
0.50949928894623553 0.78659093864583829 0.40992916503528554
0.28675257708883928 0.18071567067047334 0.79422791010508931
0.94764159884287491 0.016018760819324407 0.21896490636906729
0.74942139589707069 0.44542929913471496 0.67575287216749191
0.25401924886144167 0.50743177623692426 0.87127100705642391
0.6998475250812487 0.68875288640008336 0.27525884060991557
0.36895392989892051 0.025832164796735668 0.51080023069889735
0.97427254515528894 0.29324277695183854 0.085550884330272803
0.86034632209997419 0.30768417686133209 0.90221614300379416
0.7526658545114856 0.75129908485329111 0.54910798498954483
0.21178941808807805 0.80290854716024107 0.6521056448121757
0.64828107336538665 0.96140186130714445 0.64111909671024947
0.81367344284346166 0.091296659084978304 0.49520060445574821
0.39355233348752883 0.94372743662594361 0.1981823321839622
0.54326256460307409 0.7017609414780891 0.41513267720042579
0.65988187661726294 0.66694258437695608 0.74510477547811738
0.37418647229404745 0.08781866238723135 0.68338978347765789
0.21616727692695148 0.36344563095455351 0.5846472227315519
0.77149252430863324 0.26451810842173484 0.16684584504369504
0.68735489963035479 0.1293063200691984 0.60822661195745165
0.14477967123998936 0.82881253563158019 0.13175487769930316
0.65445855179543777 0.98284880358779814 0.50694955136550179
0.47334779984352648 0.64718599493258 0.91017220878319582
0.37341765860371967 0.19686605869076734 0.98795973492212197
0.13509197452638899 0.85969020629525816 0.91929190616747014
0.28750482674247013 0.84949121175169606 0.80691743940404037
0.86340899382911329 0.19781743376004046 0.33952447689341392
0.60297188517691258 0.17239583715130402 0.19593962846254631
0.77479569867591924 0.53415514869026004 0.9074831701538586
0.20008223540577363 0.097826746023973343 0.15674591144961403
0.047688118621542874 0.36976319428437698 0.12608397612129785
0.26282803881889227 0.15094433308772592 0.74187050984122282
0.14347965904673954 0.87064820005036436 0.30393095343575449
0.85083933007523282 0.13108701599056538 0.76627925282417086
0.36320498384390365 0.11492463629086314 0.41961323005672058
0.64415784426386169 0.38368292591496522 0.65746545057232186
0.88688061756426828 0.11166416339736329 0.32040700268961508
0.54826755167174523 0.7890746421703464 0.37353668782295635
41 39 27 1
41 39 16 1
41 26 44 27
41 26 44 16
41 39 44 27
41 39 44 16
46 43 12 5
46 36 43 5
46 12 17 5
46 36 17 5
46 43 9 12
46 28 12 17
46 36 28 17
46 9 12 37
46 28 12 37
46 36 9 37
46 36 28 37
24 30 23 15
24 30 15 40
24 42 40 27
24 30 42 40
24 19 15 8
24 20 27 8
24 20 42 27
24 15 37 8
24 15 40 37
24 19 25 8
24 20 25 8
24 44 37 8
24 44 27 8
24 44 40 37
24 44 40 27
11 14 33 1
11 41 14 1
11 26 33 1
11 41 26 1
11 14 45 33
11 45 26 33
11 14 45 27
11 41 14 27
11 45 26 27
11 41 26 27
22 46 43 9
22 9 29 5
22 43 29 5
22 43 9 5
22 46 36 9
22 46 36 43
22 36 29 37
22 36 9 37
22 43 13 29
22 36 43 13
22 9 16 37
22 9 16 29
22 45 13 29
22 36 45 29
22 36 45 13
22 44 29 37
22 44 16 37
22 44 16 29
10 30 42 23
10 24 30 23
10 24 30 42
10 20 42 23
10 24 20 42
10 20 23 31
10 20 21 31
10 19 21 31
10 20 21 35
10 19 21 25
10 24 19 25
10 21 25 35
10 20 25 35
10 24 20 25
47 24 23 15
47 10 24 23
47 23 15 31
47 10 23 31
47 24 19 15
47 10 24 19
47 19 15 31
47 10 19 31
31 6 7 2
31 3 7 2
17 2 4 0
17 6 2 4
17 6 7 4
17 5 7 4
40 1 2 0
40 3 1 2
33 3 7 1
33 5 7 1
9 5 1 4
9 1 4 0
